"Cód. Pergunta","Pergunta","Opção A","Opção B","Opção C","Opção D","Correta","Referência Bíblica","Texto Bíblico Transcrito (TNM)"
10099,"Qual era o nome da esposa de Ananias, que também morreu por mentir ao espírito santo sobre a venda de uma propriedade?","Safira","Priscila","Lídia","Dorcas","Safira","Atos 5:1, 7, 10","(1) No entanto, um homem chamado Ananias, junto com sua esposa, Safira, vendeu uma propriedade... (7) Cerca de três horas depois, sua esposa entrou, sem saber o que tinha acontecido... (10) No mesmo instante, ela caiu aos pés dele e morreu."
10100,"Qual é o Salmo que começa com as palavras: “Jeová é o meu Pastor. Nada me faltará”?","Salmo 23","Salmo 91","Salmo 1","Salmo 121","Salmo 23","Salmo 23:1","Jeová é o meu Pastor. Nada me faltará."
10101,"Quem era o pai de Davi?","Jessé","Boaz","Obede","Salmom","Jessé","1 Samuel 16:1","Jeová disse a Samuel: “...Encha seu chifre de óleo e vá. Eu o enviarei a Jessé, o belemita, pois escolhi um dos seus filhos para ser rei.”"
10102,"Qual foi a primeira cidade que os israelitas conquistaram ao entrar na Terra Prometida?","Jericó","Ai","Hebrom","Laquis","Jericó","Josué 6:20","...quando o povo ouviu o som da buzina e soltou um alto grito de guerra, a muralha de Jericó ruiu totalmente."
10103,"Que profeta escreveu sobre o 'Servo' de Jeová que seria 'traspassado pela nossa transgressão'?","Isaías","Jeremias","Ezequiel","Daniel","Isaías","Isaías 53:5","Mas ele foi traspassado pela nossa transgressão; foi esmagado pelos nossos erros."
10104,"Quem foi escolhido pelos apóstolos para substituir Judas Iscariotes, tornando-se um dos Doze?","Matias","Barnabé","Silas","Justo","Matias","Atos 1:26","Então lançaram sortes sobre eles, e a sorte caiu em Matias; e ele foi contado junto com os onze apóstolos."
10105,"Qual era o nome original de Abraão antes de Deus o mudar?","Abrão","Jacó","Isaque","Eliezer","Abrão","Gênesis 17:5","Seu nome não será mais Abrão, mas seu nome será Abraão, pois farei de você pai de uma multidão de nações."
10106,"Que rainha foi deposta pelo rei Assuero por se recusar a obedecer a uma ordem dele?","Vasti","Jezabel","Atalia","Herodias","Vasti","Ester 1:12, 19","(12) Mas a rainha Vasti persistiu em não ir... (19) ...que Vasti nunca mais apareça diante do rei Assuero; e que o rei dê a posição de rainha dela a outra mulher..."
10107,"Que profeta era originalmente um criador de ovelhas e trabalhador em sicômoros?","Amós","Oseias","Joel","Miqueias","Amós","Amós 7:14","Amós respondeu a Amazias: “Eu não era profeta, nem filho de profeta; mas eu era criador de gado e cuidava de sicômoros.”"
10108,"Qual o nome do primeiro filho de Moisés, nascido em Midiã?","Gérson","Eleazar","Itamar","Fineias","Gérson","Êxodo 2:22","Ela deu à luz um filho, e ele o chamou de Gérson, pois disse: “Tornei-me residente estrangeiro numa terra estrangeira.”"
10109,"Qual apóstolo era irmão de Simão Pedro?","André","Tiago","João","Filipe","André","Mateus 4:18","Andando à beira do mar da Galileia, ele viu dois irmãos, Simão, que é chamado Pedro, e André, seu irmão..."
10110,"Em que monte o profeta Elias desafiou os profetas de Baal?","Monte Carmelo","Monte Sinai","Monte das Oliveiras","Monte Hermom","Monte Carmelo","1 Reis 18:19","Agora, convoque todo o Israel para se encontrar comigo no monte Carmelo, e também os 450 profetas de Baal..."
10111,"Que rei persa emitiu um decreto permitindo que os judeus voltassem a Jerusalém para reconstruir o templo?","Ciro","Dario","Artaxerxes","Assuero","Ciro","Esdras 1:1-2","(1) No primeiro ano de Ciro, rei da Pérsia... Jeová despertou o espírito de Ciro... (2) “Assim diz Ciro, rei da Pérsia: ‘Jeová... me encarregou de lhe construir uma casa em Jerusalém...’”"
10112,"Que profeta, conhecido como o 'profeta chorão', advertiu sobre a destruição de Jerusalém?","Jeremias","Isaías","Ezequiel","Daniel","Jeremias","(Introdução ao livro de Jeremias)"
10113,"Qual das Marias ungiu os pés de Jesus com um caro óleo perfumado em Betânia?","Maria, irmã de Lázaro","Maria Madalena","Maria, mãe de Jesus","Maria, mãe de Tiago","Maria, irmã de Lázaro","João 12:3","Então Maria pegou quase meio litro de óleo perfumado, nardo puro, muito caro, e ungiu os pés de Jesus e os enxugou com os seus cabelos."
10114,"Em que livro se encontra a famosa passagem: “Para tudo há um tempo determinado”?","Eclesiastes","Provérbios","Cânticos","Jó","Eclesiastes","Eclesiastes 3:1","Para tudo há um tempo determinado; sim, há um tempo para todo assunto debaixo dos céus."
10115,"Quem foi o primeiro rei do reino de duas tribos de Judá, após a divisão do reino?","Roboão","Jeroboão","Salomão","Asa","Roboão","1 Reis 12:17","Mas Roboão continuou a reinar sobre os israelitas que moravam nas cidades de Judá."
10116,"Que fariseu e membro do Sinédrio procurou Jesus à noite para aprender com ele?","Nicodemos","Gamaliel","Simão","José de Arimateia","Nicodemos","João 3:1-2","(1) Havia um fariseu chamado Nicodemos, um dos líderes dos judeus. (2) Ele foi até Jesus, à noite, e lhe disse: “Rabi, sabemos que o senhor veio de Deus como instrutor...”"
10117,"Qual era o nome da arca sagrada que continha as tábuas dos Dez Mandamentos?","Arca do Pacto","Arca de Noé","Cesta de Moisés","Baú do Tesouro","Arca do Pacto","Êxodo 25:10, 16","(10) “Eles devem fazer uma arca de madeira de acácia... (16) E você porá na Arca o Testemunho que eu lhe darei.”"
10118,"Que profeta predisse o derramamento do espírito de Deus sobre 'todo tipo de pessoas', cumprido no Pentecostes?","Joel","Amós","Obadias","Jonas","Joel","Joel 2:28","“Depois disso, derramarei o meu espírito sobre todo tipo de pessoas, e os filhos e as filhas de vocês profetizarão...”"
10119,"Quem é chamado de 'pai de todos os que têm fé'?","Abraão","Moisés","Noé","Davi","Abraão","Romanos 4:11","...a fim de que ele fosse o pai de todos os que têm fé enquanto incircuncisos..."
10120,"Em que cidade Jesus cresceu, sendo por isso conhecido como 'o Nazareno'?","Nazaré","Belém","Jerusalém","Cafarnaum","Nazaré","Mateus 2:23","e foi morar numa cidade chamada Nazaré, para que se cumprisse o que foi dito por meio dos profetas: “Ele será chamado Nazareno.”"
10121,"A fé de quem foi severamente provada pela perda de seus filhos, bens e saúde?","Jó","Ló","Abraão","Jacó","Jó","Jó 1:13, 19; 2:7","(13) Certo dia... (19) ...desabou sobre os jovens, e eles morreram... (2:7) Então Satanás... atacou Jó com furúnculos dolorosos, desde a sola dos pés até o alto da cabeça."
10122,"Em que rio Naamã, o chefe do exército sírio, teve que mergulhar sete vezes para ser curado da lepra?","Rio Jordão","Rio Nilo","Rio Eufrates","Rio Tigre","Rio Jordão","2 Reis 5:14","Então ele desceu e mergulhou sete vezes no Jordão, conforme a palavra do homem do verdadeiro Deus; e sua carne se tornou como a carne de um menino, e ele ficou puro."
10123,"Em que ilha o apóstolo João estava exilado quando recebeu a revelação do Apocalipse?","Patmos","Creta","Chipre","Malta","Patmos","Apocalipse 1:9","Eu, João, irmão de vocês... estava na ilha chamada Patmos, por ter falado a respeito de Deus e por ter dado testemunho de Jesus."
10124,"Qual era o nome do filho do Rei Saul que se tornou um amigo muito leal de Davi?","Jonatã","Is-Bosete","Abner","Mefibosete","Jonatã","1 Samuel 18:1","Assim que Davi acabou de falar com Saul, surgiu uma forte amizade entre Jonatã e Davi, e Jonatã começou a amá-lo como a si mesmo."
10125,"Que profeta, quando ainda era menino, ouviu a voz de Jeová chamando-o no tabernáculo?","Samuel","Jeremias","Isaías","Daniel","Samuel","1 Samuel 3:4, 10","(4) Jeová chamou Samuel. Ele respondeu: “Estou aqui.” ... (10) Então Jeová veio, ficou ali e chamou como das outras vezes: “Samuel, Samuel!” Samuel respondeu: “Fala, pois o teu servo está escutando.”"
10126,"Qual parábola de Jesus ensina sobre a importância de ajudar o próximo, independentemente de sua nacionalidade?","A parábola do bom samaritano","A parábola do filho pródigo","A parábola do semeador","A parábola do joio e do trigo","A parábola do bom samaritano","Lucas 10:30, 33-34","(30) Jesus respondeu: “Certo homem... caiu nas mãos de ladrões... (33) No entanto, certo samaritano... o viu e teve pena. (34) Assim, aproximou-se dele e enfaixou suas feridas...”"
10127,"Que rei orgulhoso foi humilhado por Deus, passando a viver como um animal por sete anos?","Nabucodonosor","Belsazar","Dario","Faraó","Nabucodonosor","Daniel 4:33","Naquele mesmo instante cumpriu-se a palavra a respeito de Nabucodonosor. Ele foi expulso do meio dos homens e passou a comer vegetação como os touros, e seu corpo ficou molhado com o orvalho dos céus, até que seu cabelo ficou comprido como penas de águia e suas unhas, como garras de aves."
10128,"Qual mulher moabita demonstrou amor leal por sua sogra, Noemi, e se tornou ancestral de Jesus?","Rute","Raabe","Tamar","Bate-Seba","Rute","Rute 1:16","Mas Rute disse: “Não insista para que eu o abandone... Aonde o senhor for, eu irei... O seu povo será o meu povo, e o seu Deus, o meu Deus.”"
10129,"Qual dos doze apóstolos era conhecido como 'o Zelote'?","Simão","Judas Tadeu","Tiago, filho de Alfeu","Mateus","Simão","Lucas 6:15","...e Simão, o chamado zelote,"
10130,"Em que monte Abraão demonstrou sua fé ao estar disposto a sacrificar seu filho Isaque?","Monte Moriá","Monte Sinai","Monte Horebe","Monte Carmelo","Monte Moriá","Gênesis 22:2","Então Deus disse: “Por favor, pegue seu filho, seu único filho, a quem você tanto ama, Isaque, e viaje para a terra de Moriá. Ali você o oferecerá como oferta queimada num dos montes que eu lhe mostrarei.”"
10131,"Qual era o nome da esposa de Urias, com quem o Rei Davi cometeu adultério?","Bate-Seba","Mical","Abigail","Ainoã","Bate-Seba","2 Samuel 11:2-3","(2) ...do terraço ele viu uma mulher muito bonita se banhando. (3) Davi mandou que procurassem saber quem era a mulher, e lhe disseram: “É Bate-Seba, filha de Eliã, esposa de Urias, o hitita.”"
10132,"Qual festividade, 50 dias após a Páscoa, celebrava a entrega da Lei a Moisés e o derramamento do espírito santo em 33 EC?","Pentecostes","Festividade das Barracas","Páscoa","Purim","Pentecostes","Atos 2:1","No dia da Festividade de Pentecostes, estavam todos juntos no mesmo lugar."
10133,"Qual profeta escreveu o livro mais curto das Escrituras Hebraicas, com apenas um capítulo?","Obadias","Ageu","Naum","Sofonias","Obadias","(Livro de Obadias)"
10134,"Qual casal, fabricantes de tendas como Paulo, se tornaram seus colaboradores próximos?","Áquila e Priscila","Ananias e Safira","Filemom e Áfia","Jasão e sua família","Áquila e Priscila","Atos 18:2-3","(2) Ali ele encontrou um judeu chamado Áquila... junto com sua esposa, Priscila... (3) e, visto que tinham a mesma profissão, ficou na casa deles e trabalhava com eles, pois a profissão deles era fabricar tendas."
10135,"Quem foi o último rei de Judá a reinar em Jerusalém antes da destruição da cidade por Babilônia?","Zedequias","Jeoaquim","Jeconias","Josias","Zedequias","2 Reis 24:18, 25:7","(24:18) Zedequias tinha 21 anos quando começou a reinar, e reinou por 11 anos em Jerusalém... (25:7) ...e cegaram os olhos de Zedequias. Depois o prenderam com correntes de cobre e o levaram para Babilônia."
10136,"Qual dos quatro Evangelhos começa com a genealogia de Jesus, traçando sua linhagem desde Abraão?","Mateus","Marcos","Lucas","João","Mateus","Mateus 1:1","O livro da história de Jesus Cristo, filho de Davi, filho de Abraão."
10137,"Quais foram os três hebreus que foram lançados numa fornalha superaquecida, mas saíram ilesos?","Sadraque, Mesaque e Abednego","Daniel, Hananias e Misael","Elias, Eliseu e Geazi","Josué, Calebe e Fineias","Sadraque, Mesaque e Abednego","Daniel 3:23, 27","(23) Mas esses três homens, Sadraque, Mesaque e Abednego, caíram amarrados na fornalha de fogo superaquecida. (27) ...viram que o fogo não tinha tido nenhum poder sobre o corpo daqueles homens..."
10138,"Quem era o filho aleijado de Jonatã, a quem Davi mostrou bondade leal por causa de sua amizade com Jonatã?","Mefibosete","Mica","Meribe-Baal","Is-Bosete","Mefibosete","2 Samuel 9:6-7","(6) Quando Mefibosete, filho de Jonatã, filho de Saul, chegou perante Davi, prostrou-se imediatamente com o rosto em terra. Davi disse: “Mefibosete!”, ao que ele respondeu: “Aqui está o seu servo.” (7) Davi lhe disse: “...mostrarei bondade leal a você por causa de Jonatã, seu pai...”"
10139,"Qual mulher, vendedora de púrpura em Filipos, se tornou cristã e ofereceu hospitalidade a Paulo e seus companheiros?","Lídia","Dorcas","Febe","Evódia","Lídia","Atos 16:14-15","(14) Certa mulher chamada Lídia, vendedora de púrpura, da cidade de Tiatira, e que era adoradora de Deus, estava escutando, e Jeová abriu o coração dela... (15) Quando ela e os da sua casa foram batizados, ela nos pediu com insistência: “Se os senhores me julgaram fiel a Jeová, entrem e fiquem na minha casa.”"
10140,"Qual livro é uma coleção de declarações sábias, muitas delas atribuídas a Salomão?","Provérbios","Eclesiastes","Jó","Salmos","Provérbios","Provérbios 1:1","Os provérbios de Salomão, filho de Davi, rei de Israel."
10141,"Onde Jacó lutou com um anjo até o amanhecer?","Peniel","Betel","Hebrom","Siquém","Peniel","Gênesis 32:24, 30","(24) Por fim, Jacó ficou sozinho. Então um homem começou a lutar com ele até o amanhecer. (30) Por isso Jacó chamou o lugar de Peniel, pois disse: “Vi a Deus face a face e, ainda assim, minha vida foi poupada.”"
10142,"Quem sucedeu Elias como principal profeta em Israel?","Eliseu","Isaías","Amós","Jonas","Eliseu","2 Reis 2:15","Quando os filhos dos profetas que estavam em Jericó o viram de certa distância, disseram: “O espírito de Elias pousou sobre Eliseu.”"
10143,"Qual era o nome da irmã de Moisés e Arão?","Miriã","Zípora","Joquebede","Eliseba","Miriã","Êxodo 15:20","Então Miriã, a profetisa, irmã de Arão, pegou um pandeiro na mão, e todas as mulheres a acompanharam com pandeiros e com danças."
10144,"Que governante mandou decapitar João Batista para atender ao pedido de sua enteada?","Herodes Antipas","Herodes, o Grande","Pôncio Pilatos","Filipe","Herodes Antipas","Marcos 6:27-28","(27) O rei mandou imediatamente um guarda e ordenou que ele trouxesse a cabeça de João. Assim, ele foi e o decapitou na prisão, (28) e trouxe a cabeça dele numa bandeja."
10145,"Qual parábola ilustra a alegria de Deus quando um pecador se arrepende?","A parábola do filho pródigo","A parábola do bom samaritano","A parábola dos talentos","A parábola da ovelha perdida","A parábola do filho pródigo","Lucas 15:24","pois este meu filho estava morto e voltou a viver; estava perdido e foi achado. E começaram a se alegrar."
10146,"Qual general sírio foi curado da lepra após obedecer à instrução do profeta Eliseu?","Naamã","Ben-Hadade","Hazael","Rezom","Naamã","2 Reis 5:1, 14","(1) Naamã, chefe do exército do rei da Síria... era leproso. (14) Então ele desceu e mergulhou sete vezes no Jordão... e sua carne se tornou como a carne de um menino, e ele ficou puro."
10147,"Em qual carta de Paulo encontramos a descrição do 'fruto do espírito'?","Gálatas","Efésios","Filipenses","Colossenses","Gálatas","Gálatas 5:22-23","Por outro lado, o fruto do espírito é: amor, alegria, paz, paciência, bondade, benignidade, fé, brandura, autodomínio."
10148,"Quem foi o primeiro rei sobre a nação unida de Israel?","Saul","Davi","Salomão","Roboão","Saul","Atos 13:21","Mas, a partir daquele momento, eles pediram um rei, e Deus lhes deu Saul, filho de Cis, homem da tribo de Benjamim, por 40 anos."
10149,"Que profeta confrontou o Rei Acabe e sua esposa Jezabel por causa da adoração a Baal?","Elias","Micaías","Oseias","Amós","Elias","1 Reis 18:18","Ele respondeu: “Não fui eu que trouxe calamidade sobre Israel, mas sim você e a casa do seu pai, por terem abandonado os mandamentos de Jeová e seguido os baalins.”"
10150,"Qual livro narra a história da criação dos céus e da terra?","Gênesis","Êxodo","Salmos","Isaías","Gênesis","Gênesis 1:1","No princípio Deus criou os céus e a terra."
10151,"Qual era o nome da serva egípcia de Sara que se tornou mãe de Ismael?","Agar","Quetura","Bila","Zilpa","Agar","Gênesis 16:15","Assim, Agar deu um filho a Abrão, e Abrão chamou seu filho, que Agar lhe deu, de Ismael."
10152,"Que jovem adormeceu durante um longo discurso de Paulo, caiu de uma janela e foi ressuscitado?","Êutico","Timóteo","Tito","Trófimo","Êutico","Atos 20:9-10","(9) ...um jovem chamado Êutico... adormeceu profundamente enquanto Paulo ainda falava. Dominado pelo sono, ele caiu do terceiro andar... e foi levantado morto. (10) Mas Paulo desceu, debruçou-se sobre ele, abraçou-o e disse: “Parem de fazer essa confusão, pois ele está vivo.”"
10153,"Em qual monte Jeová deu os Dez Mandamentos a Moisés?","Monte Sinai (Horebe)","Monte das Oliveiras","Monte Carmelo","Monte Nebo","Monte Sinai (Horebe)","Êxodo 19:20","Jeová desceu sobre o cume do monte Sinai. Então Jeová chamou Moisés ao cume do monte, e Moisés subiu."
10154,"Qual apóstolo era irmão de Tiago e filho de Zebedeu?","João","Pedro","André","Mateus","João","Mateus 4:21","Indo mais adiante, ele viu outros dois irmãos, Tiago, filho de Zebedeu, e seu irmão João. Eles estavam no barco com Zebedeu, seu pai, consertando as suas redes, e Jesus os chamou."
10155,"Que livro descreve a libertação dos israelitas da escravidão no Egito?","Êxodo","Gênesis","Levítico","Números","Êxodo","(Introdução ao livro de Êxodo)"
10156,"Que rei de Judá encontrou 'o próprio livro da Lei' no templo e promoveu uma grande reforma religiosa?","Josias","Ezequias","Asa","Josafá","Josias","2 Reis 22:8, 23:3","(22:8) Então o sumo sacerdote Hilquias disse a Safã, o secretário: “Achei o próprio livro da Lei na casa de Jeová.” (23:3) ...o rei fez um pacto perante Jeová, de que seguiria a Jeová... cumprindo as palavras daquele pacto, que estavam escritas naquele livro."
10157,"Qual mulher em Jope, conhecida por suas 'boas obras e pelas dádivas de misericórdia', foi ressuscitada por Pedro?","Tabita (Dorcas)","Lídia","Priscila","Febe","Tabita (Dorcas)","Atos 9:36, 40","(36) Em Jope havia uma discípula chamada Tabita, que, traduzido, significa Dorcas... (40) Pedro... ajoelhou-se, orou e, virando-se para o corpo, disse: “Tabita, levante-se!” Ela abriu os olhos e, vendo Pedro, sentou-se."
10158,"Qual livro poético lamenta a destruição de Jerusalém pelos babilônios?","Lamentações","Jeremias","Ezequiel","Isaías","Lamentações","Lamentações 1:1","Como está solitária a cidade que antes era tão populosa! Tornou-se como uma viúva..."
10159,"Quem tentou comprar dos apóstolos o poder de conceder espírito santo?","Simão, o mago","Elimas","Ananias","Fileto","Simão, o mago","Atos 8:18-19","(18) Quando Simão viu que o espírito era dado pela imposição das mãos dos apóstolos, ofereceu-lhes dinheiro, (19) dizendo: “Deem-me também essa autoridade...”"
10160,"Qual filho de Davi e Bate-Seba o sucedeu como rei de Israel?","Salomão","Absalão","Adonias","Amnom","Salomão","1 Reis 1:30","...Salomão, seu filho, reinará depois de mim, e é ele quem se sentará no meu trono em meu lugar."
10161,"Com que mulher o profeta Oseias se casou, como símbolo da relação de Jeová com o infiel Israel?","Gômer","Jezabel","Atalia","Dalila","Gômer","Oseias 1:3","Então ele foi e tomou Gômer, filha de Diblaim, e ela ficou grávida e lhe deu um filho."
10162,"A fé de qual oficial do exército romano, que pediu a cura de seu servo, deixou Jesus maravilhado?","Não é nomeado","Cornélio","Júlio","Longo","Não é nomeado","Mateus 8:10","Ao ouvir isso, Jesus ficou maravilhado e disse aos que o seguiam: “Eu lhes digo a verdade: em Israel não achei ninguém com tamanha fé.”"
10163,"Para quem Paulo escreveu uma carta pessoal pedindo que perdoasse e recebesse de volta seu escravo fugitivo, Onésimo?","Filemom","Tito","Timóteo","Árquipo","Filemom","Filemom 10-12","(10) ...lhe faço um apelo a favor do meu filho, Onésimo, de quem me tornei pai enquanto estava na prisão... (12) Estou enviando-o de volta a você, sim, a ele, que é o meu próprio coração."
10164,"Qual é o nome simbólico do lugar da 'guerra do grande dia de Deus, o Todo-Poderoso'?","Armagedom (Har-Magedon)","Gogue e Magogue","Vale de Josafá","Babilônia","Armagedom (Har-Magedon)","Apocalipse 16:14, 16","(14) ...para ajuntá-los para a guerra do grande dia de Deus, o Todo-Poderoso. (16) E eles os ajuntaram no lugar que em hebraico se chama Har-Magedon."
10165,"Quais dois profetas incentivaram os judeus a retomar a reconstrução do templo após retornarem do exílio?","Ageu e Zacarias","Isaías e Jeremias","Esdras e Neemias","Joel e Amós","Ageu e Zacarias","Esdras 5:1","Os profetas Ageu e Zacarias, neto de Ido, profetizaram aos judeus que estavam em Judá e em Jerusalém..."
10166,"A qual apóstolo Jesus disse: 'Você é Pedro, e sobre esta rocha construirei a minha congregação'?","Pedro","Tiago","João","André","Pedro","Mateus 16:18","E eu lhe digo: Você é Pedro, e sobre esta rocha construirei a minha congregação, e os portões da Sepultura não a vencerão."
10167,"Qual foi o primeiro filho de Jacó com Lia?","Rúben","Simeão","Levi","Judá","Rúben","Gênesis 29:32","Lia ficou grávida e deu à luz um filho, e o chamou de Rúben, pois disse: “É porque Jeová viu a minha aflição...”"
10168,"Qual festividade exigia que os israelitas morassem em barracas por sete dias para se lembrarem de sua jornada no deserto?","Festividade das Barracas (Sucot)","Páscoa","Pentecostes","Purim","Festividade das Barracas (Sucot)","Levítico 23:42","Vocês devem morar em barracas por sete dias. Todos os israelitas nativos devem morar em barracas."
10169,"Que profeta predisse que o Messias nasceria em 'Belém Efrata'?","Miqueias","Isaías","Jeremias","Zacarias","Miqueias","Miqueias 5:2","“E você, Belém Efrata, pequena demais para figurar entre os milhares de Judá, de você sairá para mim aquele que será o governante em Israel...”"
10170,"Qual companheiro de viagem de Paulo era conhecido como 'o médico amado'?","Lucas","Marcos","Timóteo","Tito","Lucas","Colossenses 4:14","Lucas, o médico amado, manda lembranças a vocês..."
10171,"Qual filho de Noé foi amaldiçoado por desrespeitar seu pai?","Cam","Sem","Jafé","Canaã","Cam","Gênesis 9:22, 25","(22) Cam, pai de Canaã, viu a nudez do seu pai e foi contar isso aos seus dois irmãos lá fora. (25) Com isso ele disse: “Maldito seja Canaã. Torne-se ele o mais humilde escravo dos seus irmãos.”"
10172,"Quem era a mãe de Jacó e Esaú?","Rebeca","Sara","Lia","Raquel","Rebeca","Gênesis 25:21, 28","(21) Isaque orava insistentemente a Jeová a favor de sua esposa, pois ela era estéril; e Jeová ouviu a sua súplica, e Rebeca, sua esposa, ficou grávida. (28) Isaque amava Esaú... mas Rebeca amava Jacó."
10173,"Em qual livro encontramos a história do juiz Sansão e sua força sobrenatural?","Juízes","Josué","Rute","1 Samuel","Juízes","(Juízes, capítulos 13-16)"
10174,"Quem foi o primeiro oficial do exército romano não judeu a se tornar cristão, conforme o relato de Atos?","Cornélio","Júlio","Sérgio Paulo","Longo","Cornélio","Atos 10:1-2, 44-45","(1) Em Cesareia havia um homem chamado Cornélio, oficial do exército... (2) Ele era um homem devoto... (44) Enquanto Pedro ainda falava... o espírito santo foi derramado sobre pessoas das nações... (45) ...que tinham vindo com Pedro, ficaram admirados."
10175,"A que rei de Judá Jeová acrescentou 15 anos de vida após ele orar fervorosamente durante uma doença mortal?","Ezequias","Josafá","Uzias","Manassés","Ezequias","2 Reis 20:1, 5-6","(1) Naqueles dias, Ezequias ficou doente e estava para morrer... (5) “...Ouvi a sua oração. Vi as suas lágrimas. Eu o curarei... (6) Acrescentarei 15 anos à sua vida...”"
10176,"Qual carta de Paulo explica detalhadamente a doutrina da justificação, ou de ser declarado justo, pela fé?","Romanos","Gálatas","Efésios","Hebreus","Romanos","Romanos 3:28","Pois sustentamos que o homem é declarado justo pela fé, à parte das obras da Lei."
10177,"Que profeta, levado cativo para Babilônia, teve visões notáveis junto ao rio Quebar?","Ezequiel","Daniel","Jeremias","Obadias","Ezequiel","Ezequiel 1:1, 3","(1) ...enquanto eu estava junto ao rio Quebar... os céus se abriram e comecei a ter visões de Deus. (3) A palavra de Jeová veio especificamente a Ezequiel..."
10178,"Quem foi o principal artesão designado por Deus para supervisionar a construção do tabernáculo?","Bezalel","Aoliabe","Hur","Nadabe","Bezalel","Êxodo 31:1-3","(1) Jeová disse ainda a Moisés: (2) “Veja, eu escolhi Bezalel... (3) Eu o encherei do espírito de Deus, dando-lhe sabedoria, entendimento, conhecimento e perícia para todo tipo de artesanato...”"
10179,"Qual carta de Paulo adverte fortemente os cristãos a não voltarem a estar 'sujeitos a um jugo de escravidão' da Lei Mosaica?","Gálatas","Romanos","Colossenses","Hebreus","Gálatas","Gálatas 5:1","Para tal liberdade Cristo nos libertou. Portanto, permaneçam firmes e não se deixem submeter novamente a um jugo de escravidão."
10180,"Onde Jesus proferiu seu famoso Sermão, que inclui as bem-aventuranças?","Num monte","No templo","Num barco","Numa sinagoga","Num monte","Mateus 5:1","Quando viu as multidões, subiu o monte; e, depois de se sentar, seus discípulos se aproximaram dele."
10181,"Qual era o nome da esposa de Moisés, filha de um sacerdote de Midiã?","Zípora","Miriã","Joquebede","Eliseba","Zípora","Êxodo 2:21","Moisés consentiu em morar com o homem, e este lhe deu sua filha Zípora por esposa."
10182,"Qual livro narra o período turbulento em que 'cada um fazia o que era certo aos seus próprios olhos' em Israel?","Juízes","Josué","1 Samuel","2 Samuel","Juízes","Juízes 21:25","Naqueles dias não havia rei em Israel. Cada um fazia o que era certo aos seus próprios olhos."
10183,"Que profeta anunciou um 'novo pacto' que Deus faria com seu povo, um pacto escrito em seus corações?","Jeremias","Isaías","Ezequiel","Oseias","Jeremias","Jeremias 31:31, 33","(31) “Vejam! Virão dias”, diz Jeová, “em que farei um novo pacto... (33) ...Porei a minha lei no seu íntimo e a escreverei no seu coração.”"
10184,"Quem foram os primeiros missionários enviados oficialmente pela congregação de Antioquia?","Barnabé e Saulo (Paulo)","Pedro e João","Silas e Timóteo","Áquila e Priscila","Barnabé e Saulo (Paulo)","Atos 13:2-3","(2) ...o espírito santo disse: “Separem-me Barnabé e Saulo para a obra para a qual os chamei.” (3) Então, depois de jejuarem e orarem, impuseram-lhes as mãos e os enviaram."
10185,"Qual filho de Davi era famoso por sua beleza e por seu cabelo comprido e pesado?","Absalão","Salomão","Amnom","Adonias","Absalão","2 Samuel 14:25-26","(25) ...não havia homem tão elogiado por sua beleza como Absalão... (26) Quando ele cortava o cabelo... o peso do cabelo era de 200 siclos, segundo o peso padrão real."
10186,"Qual livro conta a história de uma jovem judia que se tornou rainha da Pérsia?","Ester","Rute","Neemias","Esdras","Ester","Ester 2:17","E o rei amou Ester mais do que a todas as outras mulheres... e ele pôs o turbante real na cabeça dela e a fez rainha em lugar de Vasti."
10187,"Que profeta usou a parábola de uma ovelhinha para fazer Davi reconhecer seu próprio pecado?","Natã","Samuel","Gade","Aías","Natã","2 Samuel 12:1, 7","(1) Jeová enviou Natã a Davi... (7) Então Natã disse a Davi: “Esse homem é você!”"
10188,"Em que cidade Paulo causou um grande tumulto entre os que fabricavam santuários para a deusa Ártemis (Diana)?","Éfeso","Corinto","Atenas","Tessalônica","Éfeso","Atos 19:24, 29","(24) Pois um ourives chamado Demétrio, que fazia santuários de prata de Ártemis... (29) A cidade ficou em grande confusão..."
10189,"Com que ser angelical Jacó lutou durante a noite para obter uma bênção?","Um anjo (não nomeado)","Miguel","Gabriel","Rafael","Um anjo (não nomeado)","Gênesis 32:24","Por fim, Jacó ficou sozinho. Então um homem começou a lutar com ele até o amanhecer."
10190,"A qual colaborador Paulo escreveu uma carta pastoral sobre como organizar as congregações na ilha de Creta?","Tito","Timóteo","Filemom","Silas","Tito","Tito 1:4-5","(4) a Tito, filho legítimo na fé que temos em comum... (5) Eu o deixei em Creta para que você corrigisse as coisas que estavam defeituosas e designasse anciãos em cada cidade..."
10191,"Qual mulher descobriu o segredo da força de Sansão e o traiu aos filisteus?","Dalila","Jael","Tamar","Zípora","Dalila","Juízes 16:18","Quando Dalila viu que ele lhe tinha aberto todo o coração, mandou chamar imediatamente os senhores dos filisteus, dizendo: “Venham esta vez, pois ele me abriu todo o coração.”"
